segment_id,chord_type,rootoffset,globalkey
0,M,1,C
1,M,0,C
2,Mm7,2,C
3,Mm7,2,C
4,Mm7,2,C
5,o7,8,C
6,M,0,C
7,M,0,C
8,M,0,C
9,Mm7,2,C
10,M,1,C
11,Mm7,1,C
12,M,0,C
13,M,0,C
14,,0,C
15,Mm7,2,C
16,Mm7,2,C
17,Mm7,2,C
18,o7,8,C
19,M,0,C
20,M,0,C
21,M,0,C
22,M,11,C
23,M,1,C
24,Mm7,1,C
25,Mm7,1,C
26,M,0,C
27,M,0,C
28,,0,C
29,Mm7,2,C
30,Mm7,2,C
31,Mm7,2,C
32,o7,8,C
33,M,0,C
34,M,0,C
35,M,0,C
36,Mm7,2,C
37,M,1,C
38,Mm7,1,C
39,M,0,C
40,M,0,C
41,,0,C
42,Mm7,2,C
43,Mm7,2,C
44,Mm7,2,C
45,o7,8,C
46,M,0,C
47,M,0,C
48,M,0,C
49,M,11,C
50,M,1,C
51,Mm7,1,C
52,Mm7,1,C
53,M,0,C
54,M,0,C
55,Mm7,2,C
56,M,1,C
57,o7,7,C
58,Mm7,2,C
59,M,1,C
60,%7,4,C
61,o7,7,C
62,Mm7,2,C
63,M,1,C
64,o7,7,C
65,Mm7,2,C
66,o,8,C
67,M,11,C
68,o,8,C
69,Mm7,1,C
70,M,0,C
71,Mm7,2,C
72,Mm7,2,C
73,Mm7,2,C
74,o7,8,C
75,M,0,C
76,M,0,C
77,M,0,C
78,Mm7,2,C
79,M,1,C
80,Mm7,1,C
81,M,0,C
82,M,0,C
83,,0,C
84,Mm7,2,C
85,Mm7,2,C
86,Mm7,2,C
87,o7,8,C
88,M,0,C
89,M,0,C
90,M,0,C
91,M,11,C
92,M,1,C
93,Mm7,1,C
94,Mm7,1,C
95,M,0,C
96,M,0,C
