,index,interval,mc,mn,quarterbeats,duration_qb,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,pedal,chord,numeral,form,figbass,changes,cadence,phraseend,chord_type,globalkey_is_minor,chord_tones,added_tones,root,bass_note,special,pedalend,volta,harmony_layer,regex_match
0,0,"[0.0, 1.0)",1,0,0,1.0,0,1/2,3/4,2,1,C.V{,,C,,V,V,,,,,{,M,False,"(1, 5, 2)",(),1,1,,,,,
1,1,"[1.0, 4.0)",2,1,1,3.0,0,0,3/4,2,1,I[I,,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
2,2,"[4.0, 5.0)",3,2,4,1.0,0,0,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
3,3,"[5.0, 6.0)",3,2,5,1.0,1/4,1/4,3/4,2,1,V2(9)/V,,C,I,II2(9),II,,2,9,,,Mm7,False,"(0, 2, 6, 3)","(4,)",2,0,,,,,
4,4,"[6.0, 7.0)",3,2,6,1.0,1/2,1/2,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
5,5,"[7.0, 10.0)",4,3,7,3.0,0,0,3/4,2,1,viio43,,C,I,viio43,vii,o,43,,,,o7,False,"(-1, -4, 5, 2)",(),5,-1,,,,,
6,6,"[10.0, 11.0)",5,4,10,1.0,0,0,3/4,2,1,I,,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
7,7,"[11.0, 12.0)",5,4,11,1.0,1/4,1/4,3/4,2,1,I(9),,C,I,I(9),I,,,9,,,M,False,"(0, 4, 1)","(2,)",0,0,,,,,
8,8,"[12.0, 13.0)",5,4,12,1.0,1/2,1/2,3/4,2,1,I],,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
9,9,"[13.0, 16.0)",6,5,13,3.0,0,0,3/4,2,1,V65/V,,C,,II65,II,,65,,,,Mm7,False,"(6, 3, 0, 2)",(),2,6,,,,,
10,10,"[16.0, 19.0)",7,6,16,3.0,0,0,3/4,2,1,V(64),,C,,V(64),V,,,64,,,M,False,"(1, 0, 4)",(),1,1,,,,,
11,11,"[19.0, 22.0)",8,7,19,3.0,0,0,3/4,2,1,V7,,C,,V7,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,,,,
12,12,"[22.0, 24.0)",9,8,22,2.0,0,0,3/4,2,1,I[I(6#4#2)},,C,I,I(6#4#2),I,,,6#4#2,,},M,False,"(0, 9, 6, 3)",(),0,0,,,,,
13,13,"[24.0, 28.0)",9,8,24,4.0,1/2,1/2,3/4,2,1,I|IAC,,C,I,I,I,,,,IAC,,M,False,"(0, 4, 1)",(),0,0,,,,,
14,14,"[25.0, 25.0)",10,9,25,0.0,0,0,3/4,2,1,{,,C,I,,,,,,,{,,False,(),(),,,,,,,
15,15,"[28.0, 29.0)",11,10,28,1.0,0,0,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
16,16,"[29.0, 30.0)",11,10,29,1.0,1/4,1/4,3/4,2,1,V2(119)/V,,C,I,II2(119),II,,2,119,,,Mm7,False,"(0, 2, 6, 3)","(1, 4)",2,0,,,,,
17,17,"[30.0, 31.0)",11,10,30,1.0,1/2,1/2,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
18,18,"[31.0, 34.0)",12,11,31,3.0,0,0,3/4,2,1,viio43,,C,I,viio43,vii,o,43,,,,o7,False,"(-1, -4, 5, 2)",(),5,-1,,,,,
