segment_id,chord_type,rootoffset,globalkey
0,M,0,F
1,M,1,F
2,Mm7,3,F
3,m,2,F
4,M,3,F
5,Mm7,5,F
6,m,4,F
7,M,5,F
8,m,4,F
9,Mm7,2,F
10,M,1,F
11,Mm7,2,F
12,M,1,F
13,M,4,F
14,M,5,F
15,Mm7,5,F
16,M,4,F
17,m,0,F
18,M,1,F
19,Mm7,1,F
20,m,0,F
21,M,3,F
22,M,4,F
23,o,3,F
24,m,5,F
25,M,5,F
26,o,5,F
27,m,0,F
28,M,1,F
29,m,0,F
30,o,5,F
31,m,0,F
32,M,3,F
33,o7,5,F
34,M,1,F
35,m,0,F
36,M,1,F
37,m,0,F
38,M,1,F
39,m,2,F
40,M,1,F
41,Mm7,1,F
42,m,2,F
43,M,1,F
44,Mm7,1,F
45,m,3,F
46,Mm7,1,F
47,M,0,F
48,o7,5,F
49,M,1,F
50,Mm7,3,F
51,M,2,F
52,o7,1,F
53,M,3,F
54,Mm7,5,F
55,m,4,F
56,M,5,F
57,m,4,F
58,m,3,F
59,M,4,F
60,m,3,F
61,M,0,F
62,M,1,F
63,M,0,F
64,Mm7,1,F
65,M,0,F
66,Mm7,1,F
67,M,0,F
68,o,5,F
69,M,0,F
70,o,5,F
71,M,0,F
72,o,5,F
73,M,0,F
74,o7,0,F
75,m,2,F
76,Mm7,1,F
77,M,0,F
78,o7,0,F
79,m,2,F
80,Mm7,1,F
81,M,0,F
82,o7,5,F
83,M,1,F
84,Mm7,3,F
85,m,2,F
86,Mm7,4,F
87,m,3,F
88,M,3,F
89,Mm7,5,F
90,m,4,F
91,Mm7,4,F
92,m,3,F
93,Mm7,4,F
94,m,3,F
95,Mm7,4,F
96,m,3,F
97,o7,0,F
98,m,2,F
99,o7,0,F
100,m,2,F
101,o7,0,F
102,m,2,F
103,%7,5,F
104,M,1,F
105,%7,5,F
106,M,0,F
107,m,2,F
108,M,0,F
109,o,5,F
110,M,1,F
111,m,0,F
112,%7,5,F
113,M,0,F
114,Mm7,1,F
115,M,0,F
116,m,2,F
117,Mm7,1,F
118,M,0,F
119,o7,5,F
120,M,1,F
121,M,0,F
122,o7,5,F
123,M,1,F
124,M,0,F
125,M,1,F
126,M,0,F
127,M,1,F
128,M,0,F
129,M,1,F
130,M,3,F
131,Mm7,4,F
132,M,3,F
133,Mm7,4,F
134,M,3,F
135,m,0,F
136,o,5,F
137,M,1,F
138,m,0,F
139,Mm7,0,F
140,M,5,F
141,o7,5,F
142,Mm7,1,F
143,m,0,F
144,M,1,F
145,M,4,F
146,M,3,F
147,Mm7,3,F
148,M,3,F
149,Mm7,3,F
150,Mm7,2,F
151,M,2,F
152,Mm7,2,F
153,M,2,F
154,M,1,F
155,Mm7,1,F
156,M,1,F
157,Mm7,1,F
158,M,1,F
