segment_id,chord_type,rootoffset,globalkey
0,M,0,F
1,M,1,F
2,M,0,F
3,M,5,F
4,Mm7,1,F
5,M,0,F
6,m,3,F
7,m,2,F
8,M,1,F
9,M,0,F
10,M,1,F
11,M,0,F
12,M,5,F
13,o7,1,F
14,o7,0,F
15,m,2,F
16,M,1,F
17,Mm7,1,F
18,M,0,F
19,o7,5,F
20,Mm7,1,F
21,Mm7,0,F
22,m,2,F
23,Mm7,1,F
24,M,0,F
25,M,1,F
26,Mm7,1,F
27,M,0,F
28,Mm7,1,F
29,Mm7,4,F
30,m,3,F
31,Mm7,2,F
32,m,1,F
33,M,4,F
34,Mm7,5,F
35,M,4,F
36,o7,4,F
37,o7,5,F
38,m,1,F
39,o,3,F
40,o7,0,F
41,M,2,F
42,m,1,F
43,M,2,F
44,m,0,F
45,m,3,F
46,M,2,F
47,Mm7,2,F
48,M,1,F
49,o,5,F
50,M,1,F
51,o,5,F
52,m,0,F
53,o,5,F
54,Mm7,5,F
55,o,2,F
56,m,4,F
57,Mm7,3,F
58,M,2,F
59,m,0,F
60,m,3,F
61,M,2,F
62,Mm7,2,F
63,M,1,F
64,Mm7,2,F
65,M,1,F
66,o7,5,F
67,m,0,F
68,o7,5,F
69,m,1,F
70,o7,0,F
71,M,2,F
72,Mm7,2,F
73,M,1,F
74,Mm7,2,F
75,o7,1,F
76,o,5,F
77,m,3,F
78,M,2,F
79,Mm7,2,F
80,M,1,F
81,M,2,F
82,o,5,F
83,M,1,F
84,M,0,F
85,M,1,F
86,o,5,F
87,M,1,F
88,Mm7,3,F
89,M,2,F
90,Mm7,2,F
91,M,1,F
92,o,5,F
93,M,1,F
94,M,0,F
95,M,1,F
96,o,5,F
97,m,1,F
98,M,4,F
99,o7,0,F
100,Ger,3,F
101,m,4,F
102,m,3,F
103,Mm7,2,F
104,M,1,F
105,Mm7,2,F
106,M,1,F
107,Mm7,2,F
108,M,1,F
109,M,4,F
110,M,5,F
111,o,4,F
112,M,5,F
113,o,1,F
114,o7,1,F
115,m,3,F
116,o7,1,F
117,m,3,F
118,o7,1,F
119,m,3,F
120,o7,1,F
121,m,3,F
122,m,0,F
123,o7,0,F
124,m,0,F
125,o7,0,F
126,M,5,F
127,Mm7,5,F
128,o7,0,F
129,m,2,F
130,o7,0,F
131,m,2,F
132,o7,0,F
133,m,2,F
134,m,0,F
135,o7,5,F
136,m,0,F
137,Mm7,4,F
138,o7,5,F
139,M,4,F
140,o,1,F
141,Mm7,2,F
142,o,3,F
143,MM7,4,F
144,o7,5,F
145,m,1,F
146,o7,5,F
147,m,1,F
148,o7,5,F
149,m,0,F
150,o7,5,F
151,m,0,F
152,o7,4,F
153,m,5,F
154,o7,4,F
155,m,5,F
156,M,2,F
157,m,5,F
158,M,2,F
159,m,5,F
160,Mm7,1,F
161,m,0,F
162,M,3,F
163,m,0,F
164,M,3,F
165,m,0,F
166,o7,5,F
167,M,1,F
168,Mm7,1,F
169,M,1,F
170,Mm7,1,F
171,M,1,F
172,Mm7,1,F
173,M,1,F
174,M,0,F
175,M,1,F
176,M,0,F
177,M,5,F
178,Mm7,1,F
179,M,0,F
180,m,3,F
181,m,2,F
182,M,1,F
183,m,0,F
184,M,0,F
185,m,5,F
186,M,2,F
187,m,5,F
188,M,4,F
189,M,3,F
190,m,5,F
191,M,4,F
192,m,5,F
193,M,2,F
194,m,5,F
195,M,0,F
196,m,5,F
197,M,2,F
198,m,5,F
199,M,3,F
200,Mm7,3,F
201,M,2,F
202,Mm7,3,F
203,M,2,F
204,M,3,F
205,Mm7,3,F
206,M,2,F
207,m,5,F
208,Mm7,1,F
209,m,0,F
210,m,1,F
211,Ger,5,F
212,M,1,F
213,m,0,F
214,M,1,F
215,m,0,F
216,M,1,F
217,m,0,F
218,M,1,F
219,m,0,F
220,M,1,F
221,m,0,F
222,M,1,F
223,m,0,F
224,m,2,F
225,M,1,F
226,Mm7,1,F
227,M,0,F
228,M,1,F
229,M,0,F
230,o,5,F
231,m,0,F
232,o,5,F
233,M,4,F
234,Mm7,4,F
235,m,3,F
236,M,2,F
237,M,1,F
238,m,0,F
239,m,2,F
240,M,1,F
241,Mm7,1,F
242,M,0,F
243,o,5,F
244,M,0,F
245,o7,5,F
246,m,0,F
247,o7,5,F
248,m,0,F
249,o7,5,F
250,M,1,F
251,Mm7,1,F
252,M,0,F
253,Mm7,1,F
254,o,0,F
255,o7,0,F
256,m,2,F
257,M,1,F
258,Mm7,1,F
259,M,0,F
260,M,1,F
261,Mm7,1,F
262,M,0,F
263,M,5,F
264,M,0,F
265,o,5,F
266,M,0,F
267,M,5,F
268,M,1,F
269,Mm7,1,F
270,M,0,F
271,o,5,F
272,M,0,F
273,M,5,F
274,M,0,F
275,o,5,F
276,m,0,F
277,M,3,F
278,o7,5,F
279,Ger,2,F
280,M,4,F
281,m,2,F
282,Mm7,1,F
283,M,0,F
284,Mm7,1,F
285,M,0,F
286,Mm7,1,F
287,M,0,F
288,M,5,F
289,M,3,F
290,m,2,F
291,M,1,F
292,Mm7,2,F
293,m,4,F
294,M,2,F
295,M,1,F
296,M,5,F
297,o,5,F
298,Mm7,2,F
299,Mm7,1,F
300,M,0,F
301,Mm7,1,F
302,M,0,F
303,Mm7,1,F
304,o7,1,F
305,m,3,F
306,o7,1,F
307,o7,0,F
308,m,2,F
309,o7,4,F
310,o7,5,F
311,M,1,F
312,Mm7,1,F
313,M,0,F
314,It,5,F
315,M,0,F
316,m,5,F
317,M,0,F
318,m,5,F
319,M,0,F
320,Fr,2,F
321,M,0,F
