segment_id,chord_type,rootoffset,globalkey
0,M,0,A
1,o,5,A
2,M,0,A
3,Mm7,1,A
4,M,0,A
5,M,5,A
6,M,1,A
7,Mm7,1,A
8,M,1,A
9,Mm7,1,A
10,M,0,A
11,m,3,A
12,Mm7,2,A
13,M,2,A
14,Mm7,2,A
15,mm7,4,A
16,o,5,A
17,M,1,A
18,Mm7,2,A
19,M,1,A
20,M,2,A
21,M,0,A
22,M,1,A
23,o,5,A
24,M,2,A
25,m,0,A
26,M,1,A
27,M,0,A
28,M,1,A
29,Mm7,1,A
30,M,0,A
31,m,4,A
32,Mm7,1,A
33,M,0,A
34,m,3,A
35,o,4,A
36,M,5,A
37,mm7,2,A
38,Mm7,1,A
39,M,0,A
40,M,1,A
41,M,0,A
42,Mm7,1,A
43,M,0,A
44,M,5,A
45,M,1,A
46,Mm7,2,A
47,M,1,A
48,Mm7,1,A
49,M,0,A
50,m,2,A
51,Mm7,1,A
52,M,1,A
53,Mm7,1,A
54,M,5,A
55,Mm7,1,A
56,M,0,A
57,Mm7,1,A
58,M,0,A
59,M,1,A
60,m,0,A
61,M,4,A
62,Mm7,4,A
63,M,3,A
64,M,4,A
65,o7,4,A
66,m,5,A
67,M,0,A
68,Mm7,0,A
69,m,5,A
70,M,0,A
71,Mm7,0,A
72,o7,4,A
73,Mm7,0,A
74,o,4,A
75,m,5,A
76,Mm7,0,A
77,o,4,A
78,m,5,A
79,o7,5,A
80,M,1,A
