new_segment,new_slice,pitch,tied
False,False,F3,False
False,False,A4,False
False,False,C5,True
False,False,F5,True
False,True,A4,False
False,False,C5,True
False,False,F5,True
False,False,A3,False
False,True,A4,False
False,False,C5,True
False,False,F5,True
False,False,Bb3,False
True,True,C4,False
False,False,G4,False
False,False,C5,True
False,False,F5,True
False,True,C4,False
False,False,G4,False
False,False,C5,True
False,False,E5,False
True,True,Bb3,False
False,False,C5,False
False,False,D5,False
False,False,F#5,False
False,True,C5,False
False,False,D5,False
False,False,F#5,False
False,False,A3,False
True,True,G3,False
False,False,Bb4,False
False,False,D5,True
False,False,G5,True
