new_segment,new_slice,pitch,tied
False,False,C#6,False
False,True,E6,False
False,True,E6,False
False,False,C#6,False
False,True,E6,False
False,False,A5,False
True,True,B5,False
False,True,B5,False
False,False,G#5,False
False,True,B5,False
False,False,E5,False
True,True,D6,False
False,True,C#6,False
False,True,C#5,False
False,False,B5,False
False,True,C#5,False
False,False,A5,False
False,True,A4,False
False,False,G#5,False
False,True,A4,False
False,False,A5,False
True,True,E5,False
False,False,C#6,False
False,True,B5,False
False,True,C#6,False
True,True,E6,False
False,True,E6,False
False,False,C#6,False
False,True,E6,False
False,False,A5,False
False,True,C#6,False
False,True,C#6,False
False,False,A5,False
True,True,F#5,False
False,False,C#6,False
True,True,A6,False
False,True,A6,False
False,False,F#6,False
False,True,A6,False
False,False,D#6,False
True,True,D#6,False
False,True,D#6,False
False,False,B5,False
True,True,A5,False
False,False,D#6,False
True,True,B6,False
False,True,B6,False
False,False,G#5,False
False,True,B6,False
False,False,E5,False
False,True,A6,False
False,True,G#6,False
True,True,C#6,False
False,False,F#6,False
False,True,C#6,False
False,False,E6,False
True,True,B5,False
False,False,D#6,False
False,True,B5,False
False,False,E6,False
True,True,A5,False
False,False,F#6,False
False,True,F#5,False
False,False,A6,False
True,True,B5,False
False,False,D#6,False
True,True,E5,False
False,False,E6,False
False,True,C#5,False
True,True,E5,False
False,True,E5,False
False,False,A4,False
False,False,C#5,False
False,False,A5,False
False,True,E5,False
False,False,A4,False
False,False,C#5,False
False,False,C#6,False
True,True,B4,False
False,True,B4,False
False,False,G#4,False
False,False,E5,False
False,False,E6,False
False,True,B4,False
False,False,E4,False
False,False,G#5,False
False,False,G#6,False
True,True,D5,False
False,True,C#5,False
False,True,C#4,False
False,False,B4,False
False,False,A5,False
False,False,A6,False
False,True,C#4,False
False,False,A5,False
False,False,A6,False
False,False,A4,False
False,True,A3,False
False,False,G#4,False
False,False,C#6,False
False,False,C#7,False
False,True,A3,False
False,False,C#6,False
False,False,C#7,False
False,False,A4,False
True,True,E3,False
False,False,C#5,False
False,False,E6,False
False,False,E7,False
False,True,B4,False
False,True,C#5,False
True,True,E5,False
False,True,E5,False
False,False,A4,False
False,False,C#5,False
False,False,A5,False
False,True,E5,False
False,False,A4,False
False,False,C#5,False
False,False,C#6,False
False,True,C#5,False
False,True,C#5,False
False,False,A4,False
False,False,C#5,False
False,False,C#6,False
True,True,F#4,False
False,False,C#5,False
False,False,A5,False
False,False,A6,False
True,True,A5,False
False,True,A5,False
False,False,F#4,False
False,False,D#5,False
False,False,D#6,False
False,True,A5,False
False,False,D#4,False
False,False,F#5,False
False,False,F#6,False
True,True,D#5,False
False,True,D#5,False
False,False,B3,False
False,False,F#5,False
False,False,F#6,False
True,True,A3,False
False,False,D#5,False
False,False,B5,False
False,False,B6,False
True,True,B5,False
False,True,B5,False
False,False,G#3,False
False,False,E5,False
False,False,E6,False
False,True,B5,False
False,False,E3,False
False,False,G#5,False
False,False,G#6,False
False,True,A5,False
False,True,G#5,False
True,True,C#4,False
False,False,F#5,False
False,False,G#5,False
False,False,G#6,False
False,True,C#4,False
False,False,G#5,False
False,False,G#6,False
False,False,E5,False
True,True,B3,False
False,False,D#5,False
False,False,E6,False
False,False,E7,False
False,True,B3,False
