new_segment,new_slice,pitch,tied
False,False,G5,False
True,True,C4,False
False,False,E6,False
False,True,C4,False
False,False,E6,False
False,False,G4,False
False,False,E5,False
False,True,C4,False
False,False,G4,False
False,False,E5,False
False,False,D#6,False
False,True,C4,False
False,False,G4,False
False,False,E5,False
False,False,F6,False
False,True,C4,False
False,False,G4,False
False,False,E5,False
False,False,E6,False
True,True,C4,False
False,False,D6,False
False,True,C4,False
False,False,C#6,False
True,True,C4,False
False,False,F#4,False
False,False,A4,False
False,False,D5,False
False,False,E6,False
True,True,C4,False
False,False,F#4,False
False,False,A4,False
False,False,D5,False
False,False,D6,False
True,True,C4,False
False,False,D6,False
False,True,C4,False
False,False,D6,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,True,C4,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,False,C#6,False
False,True,C4,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,False,E6,False
False,True,C4,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,False,D6,False
True,True,C6,False
False,False,C4,False
False,True,C4,False
False,False,B5,False
True,True,C4,False
False,False,E4,False
False,False,G4,False
False,False,C5,False
False,False,D6,False
True,True,C4,False
False,False,E4,False
False,False,G4,False
False,False,C5,False
False,False,C6,False
True,True,F#3,False
False,False,A5,False
False,True,A5,False
False,False,D4,False
False,False,A4,False
False,False,C5,False
False,True,D4,False
False,False,A4,False
False,False,C5,False
False,False,G#5,False
False,True,B5,False
False,True,A5,False
True,True,G5,False
False,False,G3,False
False,True,G3,False
False,False,C6,False
False,True,E4,False
False,False,G4,False
False,False,C5,False
False,False,E6,True
False,True,E6,True
False,False,E4,False
False,False,G4,False
False,False,C5,False
True,True,G3,False
False,False,E6,True
False,True,G3,False
False,False,D6,False
False,True,F4,False
False,False,G4,False
False,False,B4,False
False,False,C#6,False
False,True,F4,False
False,False,G4,False
False,False,B4,False
False,False,D6,False
False,True,F4,False
False,False,G4,False
False,False,B4,False
False,False,E6,False
False,True,F4,False
False,False,G4,False
False,False,B4,False
False,False,F6,False
True,True,C4,False
False,False,A6,False
False,True,C4,False
False,False,A6,False
False,False,F#4,False
False,False,D#5,False
True,True,C4,False
False,False,G4,False
False,False,E5,False
False,False,G6,False
False,True,C4,False
False,False,G5,False
False,False,E6,False
False,True,C4,False
False,False,G5,False
False,False,E6,False
False,False,G4,False
False,False,E5,False
False,True,C4,False
False,False,G4,False
False,False,E5,False
False,False,F#5,False
False,False,D#6,False
False,True,C4,False
False,False,G4,False
False,False,E5,False
False,False,A5,False
False,False,F6,False
False,True,C4,False
False,False,G4,False
False,False,E5,False
False,False,G5,False
False,False,E6,False
True,True,C4,False
False,False,F#5,False
False,False,D6,False
False,True,C4,False
False,False,E#5,False
False,False,C#6,False
True,True,C4,False
False,False,F#4,False
False,False,A4,False
False,False,D5,False
False,False,G5,False
False,False,E6,False
True,True,C4,False
False,False,F#4,False
False,False,A4,False
False,False,D5,False
False,False,F#5,False
False,False,D6,False
True,True,C4,False
False,False,F5,False
False,False,D6,False
False,True,C4,False
False,False,F5,False
False,False,D6,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,True,C4,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,False,E5,False
False,False,C#6,False
False,True,C4,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,False,G5,False
False,False,E6,False
False,True,C4,False
False,False,F4,False
False,False,Ab4,False
False,False,B4,False
False,False,D5,False
False,False,F5,False
False,False,D6,False
True,True,C4,False
False,False,E5,False
False,False,C6,False
False,True,C4,False
False,False,D#5,False
False,False,B5,False
True,True,C4,False
False,False,E4,False
False,False,G4,False
False,False,C5,False
False,False,F5,False
False,False,D6,False
True,True,C4,False
False,False,E4,False
False,False,G4,False
False,False,C5,False
False,False,E5,False
False,False,C6,False
True,True,F3,False
False,False,F5,False
False,False,A5,False
False,True,F5,False
False,False,A5,False
False,False,F4,False
False,False,A4,False
False,False,C5,False
False,True,F4,False
False,False,A4,False
False,False,C5,False
False,False,E5,False
False,False,G#5,False
False,True,G5,False
False,False,B5,False
False,True,F5,False
False,False,A5,False
True,True,E5,False
False,False,G5,False
False,False,G3,False
False,True,G3,False
False,False,E5,False
False,False,C6,False
False,True,E4,False
False,False,C5,False
False,False,G5,True
False,False,E6,True
False,True,G5,True
False,False,E6,True
False,False,E4,False
False,False,C5,False
True,True,G3,False
False,False,G5,True
False,False,E6,True
False,True,G3,False
False,False,F5,False
False,False,D6,False
False,True,D4,False
False,False,G4,False
False,False,B4,False
False,False,E5,False
False,False,C#6,False
False,True,D4,False
False,False,G4,False
False,False,B4,False
False,False,F5,False
False,False,D6,False
True,True,A5,False
False,False,F6,False
False,False,D4,False
False,False,G4,False
False,False,B4,False
False,True,D4,False
False,False,G4,False
False,False,B4,False
False,False,G5,False
False,False,E6,False
True,True,F5,False
False,False,D6,False
False,False,C3,False
False,False,C4,False
False,True,C3,False
False,False,C4,False
False,False,G5,False
