new_segment,new_slice,pitch,tied
False,False,F3,False
False,False,A4,False
False,False,C5,True
False,False,F5,True
False,True,A4,False
False,False,C5,True
False,False,F5,True
False,False,A3,False
False,True,A4,False
False,False,C5,True
False,False,F5,True
False,False,Bb3,False
True,True,C4,False
False,False,G4,False
False,False,C5,True
False,False,F5,True
False,True,C4,False
False,False,G4,False
False,False,C5,True
False,False,E5,False
True,True,Bb3,False
False,False,C5,False
False,False,D5,False
False,False,F#5,False
False,True,C5,False
False,False,D5,False
False,False,F#5,False
False,False,A3,False
True,True,G3,False
False,False,Bb4,False
False,False,D5,True
False,False,G5,True
False,True,Bb4,False
False,False,D5,True
False,False,G5,True
False,False,Bb3,False
False,True,Bb4,False
False,False,D5,True
False,False,G5,True
False,False,C4,False
True,True,D4,False
False,False,A4,False
False,False,D5,True
False,False,G5,True
False,True,D4,False
False,False,A4,False
False,False,D5,True
False,False,F#5,False
True,True,C4,False
False,False,D5,False
False,False,E5,False
False,False,G#5,False
False,True,D5,False
False,False,E5,False
False,False,G#5,False
False,False,B3,False
True,True,A3,False
False,False,C5,False
False,False,E5,False
False,False,A5,False
False,True,C5,False
False,False,E5,False
False,False,A5,False
False,False,C4,False
True,True,E4,False
False,False,E5,True
False,False,G#5,False
False,False,B5,False
True,True,A4,False
False,False,E5,True
False,False,A5,False
False,False,C6,False
True,True,D6,False
False,False,C6,False
False,False,B5,False
False,False,A5,False
False,False,G4,False
False,False,F5,False
False,False,B5,False
False,False,D6,False
True,True,C5,False
False,False,E5,False
False,False,C6,False
False,False,E6,False
True,True,D5,False
False,False,C5,False
False,False,B4,False
False,False,A4,False
False,False,F4,False
False,False,E4,False
False,False,G3,False
False,False,F4,False
False,False,B4,False
False,False,D5,False
True,True,C4,False
False,False,E4,False
False,False,C5,False
False,False,C5,False
